title,company,city,description,salary,url
Senior Python Engineer (Django),Adwisely,віддалено,"Adwisely (formerly RetargetApp) is a marketing solution that helps e-commerce businesses promote their products on the biggest advertising platforms. Adwisely automatically creates and optimizes effective advertising campaigns. Adwisely is a proud Facebook Marketing Partner and Google Partner.We’are looking for a Senior Python Engineer to join the team full-time. You will be able to participate in making architecture decisions and to lead one of the directions within the Company.What you will need to do— lead the development process of Shopify Embedded App— bring value to the product by writing code and developing high-quality features— make architecture and infrastructure decisions that improve the product— process high-level tasks through personal knowledge and expertise— improve the quality of our coding base— participate in discussions regarding product vision with founders — perform code reviewThis is for you if you— have strong knowledge of Python 3 and Django— have experience with SQL, PostgreSQL, no-SQL databases, queue managers— know principles of work of Web (HTTP-protocols and other common protocols)— are experienced in building the app architecture— have experience with Docker, Docker Compose— are an experienced Linux system user— know how to explain the choice of the method of implementing a task— know how to keep a balance between architecture-reasonable and efficient decisions— pay close attention to details in code reviews, ensuring consistent quality across the board— continuously identify areas for improvement within the codebase and contribute to ongoing optimization effortsWill be a plus— previous work with AWS— experience with JS and Front-End technologies— knowledge of GoLang, other languages— knowledge of Ansible orchestration systems (Kubernetes)— knowledge of Facebook Marketing API, Google Ads API, or Shopify API’sWhat we offer— possibility to make architecture decisions and develop as architect— opportunity to lead development process and deliver value directly to paying B2B clients— 40-hour working week with a flexible schedule and ability to work remotely— competitive salary — paid vacation We are passionate about our Team and the product we create, we never stop learning and always stay curious. Come join us to grow together!",$3000–4000,https://jobs.dou.ua/companies/adwisely/vacancies/129357/?from=list_hot
Senior Python Engineer,VeryBusy,віддалено,"Наш клієнт — українська SaaS-компанія, заснована в 2009му році, яка пропонує все необхідне для масштабування Terraform. Продукт — це Cloud Management Platform для великого бізнесу (IaCP), який дозволяє реалізувати self-service для різних сегментів користувачів компанії (з фокусом на DevOps, GitOps користувачів).Шукаємо Senior Python бекенд розробника, якому цікаві нетривіальні та челенджеві задачі, важлива прозорість в комунікаціях, довіра та взаємопідтримка між членами команди. Як Backend інженер, ви будете відігравати вирішальну роль у проєктуванні та побудові основних систем бекенда, які поділяються на кілька основних аспектів: відповідальність за бекенд-завдання, високопродуктивний API, розроблений за допомогою Flask на основі специфікації JSON-API, та за агент, який взаємодіє з нашим сервером.Вам точно буде цікава ця роль, якщо ви цінуєте свободу в прийнятті рішень та приймаєте відповідальність, відкриті до нових знань та ресьорчу, зацікавлені можливістю працювати з різними частинами продукту та мати вплив на весь процесТОП-4 напрямки задач:Інженер буде працювати над розробкою Infrastructure as Code Platform (IaCP). Спектр задач включає:— Розробка API для сумісності з terraform workflow— Розробка remote state & operations backend for terraform, що розширює можливості при роботі з terraform— Розробка API для IaCP: конфігурація і менеджмент оточення користувача за допомогою UI/API— Інтеграція зі сторонніми сервісами: VCS (GitHub, GitLab, etc.), online payments (Stripe), cloud computing (gce, ec2, azure)Які знання та навички очікуємо від кандидата:— Досвід в розробки бекенду на Python впродовж останніх 5+ років— Досвід роботи з сoncurrency and parallelism (threading, multiprocessing, gevent, asyncio, etc.)— Розуміння ООП та патернів проєктування— Досвід у проєктуванні реляційних баз даних та оптимізації запитів— Впевнене володіння англійською мовоюБуде додатковою перевагою:— Знання та практичний досвід з Go— Досвід роботи з DevOps (Terraform, Chef, Ansible, SaltStack тощо)— Знання операційних систем LinuxТехнічний стек продукту:Python, Go, MySQL, RabbitMQ, Docker та багато бібліотек python для різних доменів: cloud, networking, data, сoncurrency and parallelism (threading, multiprocessing, gevent, asyncio, etc.)Хайринг процес:1) Співбесіда з рекрутером ~30 хв,2) Технічна співбесіда ~1,5 год,3) Фінальна співбесіда ~45 хв. з Head of Delivery",Not provided,https://jobs.dou.ua/companies/verybusy-recruiting/vacancies/279232/?from=list_hot
"Lead Full Stack Python(Flask)/React (80% BE, 20% FE)",nearshorefriends,віддалено,"DescriptionProject details: A Software as a Service (SAAS) platform is being developed specifically for regional publishers with a target audience under 45 years old who prefer to consume information digitally.The platform will focus onCategorization, Local Language Model (LLM) etc.Information related to various topics including people, places, cinema, and sports.Content will be delivered through formats such as podcasts and newsletters.The startup has three founders and has secured funding up to the Series A round from venture capitalists.Responsibilities:The engineers will work directly with the founder and CTO to create the SaaS platform.The engineers will be expected to be part of the conceptual process, as in giving feedback, opinions, and pushing back when necessary to make the right development decisions.Requirements:Experience in leading dev teams.Knows how to build an infrastructure from the concept to the technical tasks.Professional experience of at least 5 years as a Fullstack engineer, using Python (Flask) and ReactJS (or any front end framework you know)Excellent problem-solving skills, can think your way through issues, proactively recognize project risks and are able to propose intelligent solutions.Experience with using AI- or at least very interested in using AI and exploring it practical application.",Not provided,https://jobs.dou.ua/companies/nearshorefriends/vacancies/277482/?from=list_hot
Senior software engineer (scraping),Competera,віддалено,"In Competera, we are building a place where optimal pricing decisions can be made easily. We believe that AI technologies will soon drive all challenging decisions and are capable of helping humans be better. We are now looking for a Senior Software Engineer to help us turn business ideas into cutting-edge tech solutions that explicitly drive the product and the company towards its strategic direction.Our stack:Programming Languages: Python.Tech Stack: PostgreSQL, asyncio, FastAPI, Apache Kafka, ClickHouse, BigQuery, GCS, Scrapy, Selenium, PyppeteerInfrastructure: Kubernetes, Helm, ArgoCD, Grafana, Prometheus, Sentry, OpsGenie.You could be a perfect match for the position ifYou want to:Design and implement scalable and efficient services for a web scraping system using Python and relevant libraries.Lead the development team in overcoming anti-scraping measures such as CAPTCHAs, rate limiting, and dynamic content loading.Mentor and guide junior engineers in the team, fostering their growth and development.Automate existing scraper development processes using tools and frameworks to improve efficiency and maintainability.Monitor system performance and proactively identify and address any issues.Design and implement microservices architecture for modularity and scalability.Apply Domain-Driven Design (DDD) principles to ensure clean and maintainable code.Stay up-to-date with the latest advancements and best practices in web scraping.You have:5+ years of experience as a Software Engineer with a strong track record in web scraping.Proven expertise in Python and relevant libraries like Scrapy, Selenium, Pyppeteer, Playwright.In-depth understanding of web protocols and how modern web works (SSL, proxies, cookies, headers, browsers).Experience with anti-scraping detection and bypass techniques.Experience with Kafka, Redis, and microservices architecture.Familiarity with Domain-Driven Design (DDD) principles.Eng — interm +Pleasant extras:Experience with cloud platforms like AWS or GCP.Experience with data quality and cleaning techniques.Knowledge of machine learning and data analysis techniques.Soft skills:Ability to lead and mentor junior engineers in overcoming technical challenges.Proactive approach to identifying and solving problems, seeking out new opportunities.Ability to work independently and as part of a team in a fast-paced environment.Ability to learn new technologies and adapt to changing web scraping landscapes.You’re gonna love it, and here’s why:Rich innovative software stack, freedom to choose the best suitable technologies.Remote-first ideology: freedom to operate from the home office or any suitable coworking.Flexible working hours (we start from 8 to 11 am) and no time tracking systems on.Regular performance and compensation reviews.Recurrent 1-1s and measurable OKRs.In-depth onboarding with a clear success track.Competera covers 70% of your training/course fee.20 vacation days, 15 days off, and up to one week of paid Christmas holidays.20 business days of sick leave.Partial medical insurance coverage.We reimburse the cost of coworking.Drive innovations with us. Be a Competerian.",Not provided,https://jobs.dou.ua/companies/competera/vacancies/266859/?from=list_hot
Senior Backend Engineer,DataRobot,"Київ, Львів, Хмельницький, віддалено","DataRobot is the leader in Value-Driven AI, a unique and collaborative approach to generative and predictive AI that combines an open platform, deep expertise and broad use-case experience to improve how organizations run, grow and optimize their business. The DataRobot AI Platform is the only complete AI lifecycle platform that interoperates with an organization’s existing investments in data, applications and business processes, and can be deployed on prem or on any cloud environment. Global organizations, including 40% of the Fortune 50, rely on DataRobot to drive greater impact and value from AI.Custom Models domain is a team, focused on developing one of the key components of the DataRobot MLOps platform, backed by Kubernetes. We’re building a toolset to run user-supplied ML models and arbitrary code fully equipped with MLOps features: data drift, accuracy tracking, retraining and so on. We are looking for a Senior Software Engineer to join us and accelerate building top solutions for our platform. Key Responsibilities:Partners with Product Managers and Data Scientists to determine process and execute on designing and implementing new features, and shiping end-to-end to both Cloud and Enterprise. Design and build application-level software working with Kubernetes Infrastructure and containers.Partners with the DevOps and Security team to build Enterprise installation and documentation.Lead projects, communicate requirements and scope. Design, build and document extendable REST APIs using Python Flask and OpenAPI schema.Maintain and improve the existing codebase.Troubleshooting complex production environments at the application and DB level.Evaluate and validate code with tests. Knowledge, Skills and Abilities:7+ years of professional software developmentStrong Python knowledgeUnderstanding of networkingBuilding containerized applicationsAbility to plan and lead projects from start to finish and explain your design decisionsGreat communication skills: ability to work in teams, share knowledge and write documentation.Computer science fundamentals, basic understanding of algorithms and time complexity.Ability to write quality integration/functional tests.Nice to have:Bachelor’s degree in relevant fieldKubernetes fundamentals, developer-level experience.Experience with Docker.Experience with AWS/Azure/GCP.DevOps fundamentals, scripting.Building CI/CD pipelines using Jenkins.Our benefits include, but not limited to:medical insurance (for you and your +1)restricted stock unitsunlimited vacation policyquarterly companywide day off for self careflexible working hours and remote policypaid parental leavemental health support servicessport compensationlearning budgetIT equipment",до$6000,https://jobs.dou.ua/companies/datarobot/vacancies/269927/?from=list_hot
Senior Python Developer,Tabula Rasa,"Київ, віддалено","Вчасно — найпопулярніший SAAS для обміну документами онлайн в Україні і у нас вже зареєструвалося близько 700 000 компаній (серед них: Нова Пошта, Укрпошта, Portmone, OLX, Delivery, Rozetka, Glovo, Monobank та багато інших).Зараз ми шукаємо Senior Python Developer’аТехнології, які використовуємо:Python 3FastAPI, aiohttp, Hiku/GraphenePostgreSQL, Elasticsearch, Redis, Apache Kafka, AWS S3JS/React/Redux + TS/React/ApolloІнфраструктура: Docker, Gitlab CI, Argo CD, KubernetesПро команду:Технічна команда всіх продуктів Вчасно складається з більш ніж 30 осіб, серед яких: Backend, Frontend та Flutter розробники, а також DevOps та QA відділи.Склад команди в якій відкрита вакансія: PM, 1 Backend Developer, 1 Frontend DeveloperДля даної ролі важливо:знання Python, не бути заточеним під конкретний фреймворк;мати досвід web розробки;впевнено працювати з базами даних PostgreSQL (або аналогами): транзакції, індекси, оптимізація запитів;досвід асинхронного програмування на Python;здатність самостійно виконувати задачі та повноцінно підтримувати їх на всьому життєвому циклі.Як плюс:досвід роботи з Docker / Kubernetesдосвід розробки проєктів з «0»Задачі:Розробка архітектури проєктуРозробка та впровадження функціоналу відповідно до технічних вимогНаписання та підтримка юніт-тестівНалаштування процесів CI/CDВзаємодія з DevOps командою для підтримки інфраструктури та релізівВзаємодія з іншими командами розробниківСтворення та підтримка технічної документаціїЯк у нас проходить підбір на дану позицію?знайомство із рекрутером та СТО (45 хвилин)технічна співбесіда (1,5 год)фінальна співбесіда (опційно, 45-60 хвилин)Ми пропонуємо:офіційне працевлаштування у штат компанії;24 календарних дні оплачуваної відпустки на рік, необмежена кількість лікарняних;віддалена робота, кількість зустрічей в офісі (м.Київ, ст.м. Бориспільська) за домовленістю;медичне страхування.",Not provided,https://jobs.dou.ua/companies/tabula-rasa/vacancies/280010/
Solution Architect on Python,Edsson,Київ,"ResponsibilitiesDesign and architect systems and solutions that drive the energy transition forward.Develop high-level technical architecture and ensure alignment with business objectives.Create comprehensive technical designs and documentation to guide the implementation of scalable, efficient, and high-quality systems.Solve complex, large-scale architectural challenges with a focus on real-world impact.Design and implement scalable, high-performing, and secure solutions across multiple services.Ensure solutions are flexible, future-proof, and aligned with strategic objectives.Collaborate with cross-functional teams to refine the overall product architecture and drive technical excellence.Continuously improve engineering standards, tools, and processes to ensure high-quality deliverables.Take ownership of architectural decisions, ensuring alignment with business and technical goals.Provide technical leadership and mentorship to development teams, guiding them toward best practices.Requirements8+ years of experience in software development and system architecture, with deep knowledge of Python, Java, or similar languages (experience with Data Engineering or ‘big data’ is a plus).Extensive experience designing distributed systems, service-to-service communication at scale, and cloud-based infrastructures (preferably GCP).Solid understanding of Computer Science fundamentals (e.g., data structures, design patterns, OOP principles, thread safety).Strong hands-on experience with microservices architecture, RESTful APIs, and scalable service design.Expertise in working with diverse data storage technologies (SQL, NoSQL) and ORM.Proven ability to architect robust, high-scale, and secure systems with a focus on performance optimization.Experience with cloud infrastructure automation tools (e.g., Terraform) and DevOps practices.Familiarity with Site Reliability Engineering principles and experience in building reliable systems.Ability to communicate complex technical topics to both technical and non-technical stakeholders.Strong collaboration skills and the ability to work effectively in cross-functional teams.Passion for high-quality architecture, continuous improvement, and delivering value-driven results.Upper-Intermediate or higher level of English, both oral and written.We OfferCompetitive salaryFlexible scheduleSocial packageCourses, webinars, and seminars to increase professional skillsPossibility to work remotely and onsiteHorizontal hierarchy. No micromanagement pressureOpen company culture where your ideas and initiatives are valuedRegular team building & corporate eventsInternational projects",Not provided,https://jobs.dou.ua/companies/edsson/vacancies/279998/
Python Developer,Requestum,віддалено,"Requestum company is looking for a talented Software Engineer!Fundamentals:— Strong algorithmization and programming skills— Strong Python knowledge— Basics of C/C++— Basics of HTML/CSS, JS— Strong fundamentals of computer networking, specifically to HTTP/HTTPS, WS/WSS, TCP, UDP, protocols— Strong fundamentals of operating systems, Containerization technologies— Concurrent / Async programming — multithreading, multiprocessing, event loop based architectures— At least B2 English levelExperience:— At least 3 years of commercial experience— Experience in building microservices with any python asyncio-based framework like aiohttp, starlette / FastAPI, sanic, etc— Experience in file storage/transfer (large file uploads, CDN, signed links, streaming)— Experience in Payment Gateway integration (Stripe, Paypal)— Any RDBMS AND NoSQL systems (PostgreSQL, MongoDB)— In memory data storage systems like Redis— Containerization using Docker and docker compose, orchestration with Kubernetes, CI/DI configuration— Experience with infrastructure deployment on cloud services like AWS or Google Cloud PlatformWe offer: — Work in a friendly, ambitious team of professionals— Opportunity for professional growth and career development— Social package (paid vacation, sickness leaves)— Flexible work schedule— Fully remote work",Not provided,https://jobs.dou.ua/companies/requestum/vacancies/279975/
Python Team Lead (with PM or DM exp.),PLANEKS,We're a fully remote team thus we do not have an office. Most of our developers are based in Ukraine.,"LET’S START WITH WHAT PLANEKS OFFERS:  0. Fast and comfortable hiring process.1. 100% remote work opportunity and flexitime — choose working hours between 8:00-20:00.2. Manage your compensation $$$$ budget — Travel tickets, Work equipment, Health insurance, Software, Sport, Training.3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings.4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends.5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we’re proud of how we handle that. So you can always count on us.6. Speaking clubs with a native speaker to constantly maintain your English level.7. No bureaucracy — transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently. We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!ABOUT THE PROJECT Our customer is a platform for a new era of artists to manage the metadata efficiently and splits for their musical Works and Recordings. This platform is committed to facilitating metadata management by providing a proactive, simple, and efficient approach. It is by providing tools to independent and emerging artists that the platform succeeds in showcasing their talent.THIS POSITION SUPPOSES THAT YOU HAVE THE FOLLOWING KNOWLEDGE AND COMPETENCIES:  — 5+ years of commercial software engineering experience using Python for Web.— Strong soft skills, including leadership — ability to hire, develop, inspire, motivate, train and manage the team to meet high goals. — Knowledge of Django.— Basic knowledge of JS.— Knowledge of SQL and NoSQL databases.— Knowledge of designing and writing APIs or RESTful endpoints.— Understanding of network principles (TCP / IP, DNS, HTTP, SSL).— Strong expertise in software design, development and development management— Knowledge OOP, Architecture Patterns and Best Practices for tech solutions.— Excellent English communication skills (both verbal and written).WILL BE A PLUS — Previous experience as a PM, BA, or Delivery Manager— Knowledge of programming languages other than Python.— Strong understanding of CI/CD process and cloud platforms.— Experience with Machine Learning or Artificial Intelligence.— Business-oriented approach. RESPONSIBILITIES— Being on the edge of technology, management, and business.— Working with the founders on directions and goals for the development team.— Technical mentoring and coaching of developers.— Being a part of recruitment processes.— Integrate the newest technologies and approaches that will be used by other developers in the company.— Constantly adding value to the experience of our customers... and coding!",Not provided,https://jobs.dou.ua/companies/planeks/vacancies/279968/
Senior Full-stack Engineer (Python +React/Angular),Academy SMART,"Харків, віддалено","About the role: NutriTech company dedicated to enhancing employee health and productivity by making high-quality, nutrient-rich food accessible through employer subsidies. Our mission is driven by the belief that better health starts with better food. We have built the world’s largest database mapping foods to their nutrient content and developed a platform that connects employees and employers to these high-nutrient food items.We are looking for a highly skilled Full-Stack Engineer to join our dynamic team. As this project is being built from scratch, you will have a pivotal role in shaping the platform’s architecture and ensuring its successful development from the ground up. Requirements:Experience as a Full-Stack Engineer;Proven experience of starting projects from scratch and building an architecture;Proficiency in React.js or React.js for front-end development, with a deep understanding of component-based architecture and state management;Strong back-end development skills using Python, including experience with frameworks like Django or Flask;Experience with PostgreSQL, including database design, optimization, and management;Solid understanding of AWS services, including EC2, S3, RDS, and Lambda, and experience deploying and managing applications in a cloud environment;Familiarity with RESTful APIs and how to integrate them with front-end applications.
Responsibilities:Lead the architectural design of the platform, ensuring a scalable, secure, and efficient structure that supports current and future needs;Collaborate with Business Analysts (BA) to understand and refine project requirements, ensuring alignment with business goals and user needs;Plan and develop the front-end and back-end of the platform, utilizing React.js or Angular for the user interface and Python for server-side logic;Design and implement the database schema using PostgreSQL, focusing on data integrity, security, and efficient retrieval of nutrient data;Engage in continuous communication with cross-functional teams, including product management, UX/UI designers, and stakeholders, to ensure the platform meets all technical and business requirements;Establish best practices for coding, testing, and deployment, fostering a culture of quality and continuous improvement;Monitor and optimize platform performance, identifying potential bottlenecks and implementing solutions to enhance user experience.We offer:20 working days of paid vacation per year;Official holidays of Ukraine — days off;Modern equipment for work;Corporate events;External and internal training: conferences, professional events, courses, corporate e-learning platforms;English speaking club;Work in a respectful and supportive team. Hiring process:Review CV;HR interview;Professional interview with customer.",Not provided,https://jobs.dou.ua/companies/academy-smart/vacancies/279940/
